date,value
01/11/1996,67.8
01/12/1996,67.8
01/01/1997,67.5
01/02/1997,67.9
01/03/1997,68
01/04/1997,68
01/05/1997,68.2
01/06/1997,68.4
01/07/1997,68.3
01/08/1997,68.2
01/09/1997,68.5
01/10/1997,68.7
01/11/1997,68.9
01/12/1997,69.1
01/01/1998,68.7
01/02/1998,69
01/03/1998,69.4
01/04/1998,69.7
01/05/1998,70
01/06/1998,70.3
01/07/1998,70.2
01/08/1998,70.3
01/09/1998,70.6
01/10/1998,70.6
01/11/1998,70.4
01/12/1998,70.3
01/01/1999,69.7
01/02/1999,70.1
01/03/1999,70.3
01/04/1999,70.7
01/05/1999,71
01/06/1999,71.2
01/07/1999,71
01/08/1999,71.4
01/09/1999,71.6
01/10/1999,71.7
01/11/1999,71.8
01/12/1999,72.7
01/01/2000,72.5
01/02/2000,73.1
01/03/2000,73.6
01/04/2000,74.1
01/05/2000,74.7
01/06/2000,75.2
01/07/2000,75.4
01/08/2000,75.8
01/09/2000,76.1
01/10/2000,76.6
01/11/2000,76.9
01/12/2000,76.9
01/01/2001,76.3
01/02/2001,77
01/03/2001,77.6
01/04/2001,78.3
01/05/2001,78.8
01/06/2001,79.2
01/07/2001,79
01/08/2001,79.2
01/09/2001,79.6
01/10/2001,79.8
01/11/2001,79.8
01/12/2001,80.2
01/01/2002,80.1
01/02/2002,80.6
01/03/2002,81.3
01/04/2002,82
01/05/2002,82.5
01/06/2002,82.6
01/07/2002,82.2
01/08/2002,82.7
01/09/2002,83.1
01/10/2002,83.5
01/11/2002,83.6
01/12/2002,84.2
01/01/2003,83.9
01/02/2003,84.7
01/03/2003,85.3
01/04/2003,85.5
01/05/2003,85.4
01/06/2003,85.5
01/07/2003,84.9
01/08/2003,85.4
01/09/2003,85.5
01/10/2003,85.5
01/11/2003,85.5
01/12/2003,85.8
01/01/2004,85.4
01/02/2004,86.1
01/03/2004,86.5
01/04/2004,86.7
01/05/2004,86.9
01/06/2004,87.4
01/07/2004,87.1
01/08/2004,87.7
01/09/2004,87.7
01/10/2004,87.8
01/11/2004,88
01/12/2004,88.1
01/01/2005,87.3
01/02/2005,88.1
01/03/2005,88.3
01/04/2005,88.7
01/05/2005,89
01/06/2005,89.3
01/07/2005,89.2
01/08/2005,89.6
01/09/2005,90.4
01/10/2005,90.4
01/11/2005,90.3
01/12/2005,90.2
01/01/2006,89.9
01/02/2006,90.9
01/03/2006,91.3
01/04/2006,92.1
01/05/2006,92.5
01/06/2006,92.7
01/07/2006,93
01/08/2006,93.6
01/09/2006,94
01/10/2006,93.9
01/11/2006,94.3
01/12/2006,94.7
01/01/2007,94.5
01/02/2007,95.3
01/03/2007,96
01/04/2007,96.7
01/05/2007,97.1
01/06/2007,97.3
01/07/2007,97.6
01/08/2007,98
01/09/2007,98.3
01/10/2007,98.5
01/11/2007,99
01/12/2007,99.1
01/01/2008,98.6
01/02/2008,99.9
01/03/2008,100.8
01/04/2008,100.9
01/05/2008,101.6
01/06/2008,102.1
01/07/2008,101.9
01/08/2008,102.3
01/09/2008,102.6
01/10/2008,102.4
01/11/2008,101.5
01/12/2008,100.2
01/01/2009,98.6
01/02/2009,98.2
01/03/2009,98.1
01/04/2009,97.4
01/05/2009,96.9
01/06/2009,96.6
01/07/2009,95.9
01/08/2009,96.2
01/09/2009,95.9
01/10/2009,95.7
01/11/2009,95.7
01/12/2009,95.2
01/01/2010,94.7
01/02/2010,95.1
01/03/2010,95.1
01/04/2010,95.4
01/05/2010,95.9
01/06/2010,95.8
01/07/2010,95.8
01/08/2010,96.5
01/09/2010,96.3
01/10/2010,96.4
01/11/2010,96.2
01/12/2010,96.5
01/01/2011,96.2
01/02/2011,97.1
01/03/2011,98
01/04/2011,98.4
01/05/2011,98.4
01/06/2011,98.4
01/07/2011,98.3
01/08/2011,98.5
01/09/2011,98.8
01/10/2011,99.1
01/11/2011,99.1
01/12/2011,98.8
01/01/2012,98.3
01/02/2012,99.2
01/03/2012,100.2
01/04/2012,100.2
01/05/2012,100.2
01/06/2012,100
01/07/2012,99.9
01/08/2012,100.5
01/09/2012,100.4
01/10/2012,100.3
01/11/2012,99.9
01/12/2012,100
01/01/2013,99.5
01/02/2013,100.3
01/03/2013,100.7
01/04/2013,100.7
01/05/2013,100.6
01/06/2013,100.7
01/07/2013,100.6
01/08/2013,100.7
01/09/2013,100.6
01/10/2013,100.4
01/11/2013,100.2
01/12/2013,100.2
01/01/2014,99.7
01/02/2014,100.2
01/03/2014,100.9
01/04/2014,101
01/05/2014,100.9
01/06/2014,101.1
01/07/2014,100.9
01/08/2014,101.1
01/09/2014,100.8
01/10/2014,100.6
01/11/2014,100.3
01/12/2014,99.9
01/01/2015,99.1
01/02/2015,99.7
01/03/2015,100.3
01/04/2015,100.3
01/05/2015,100.7
01/06/2015,100.9
01/07/2015,100.7
01/08/2015,101.1
01/09/2015,100.6
01/10/2015,100.4
01/11/2015,100.1
01/12/2015,100
01/01/2016,99.2
01/02/2016,99.6
01/03/2016,100
01/04/2016,100.2
01/05/2016,100.7
01/06/2016,101.4
01/07/2016,101.2
01/08/2016,101
01/09/2016,100.6
01/10/2016,100.1
01/11/2016,100
01/12/2016,100
01/01/2017,99.5
01/02/2017,100.1
01/03/2017,100.7
01/04/2017,101.1
01/05/2017,100.9
01/06/2017,101
01/07/2017,101
01/08/2017,101.4
01/09/2017,100.8
01/10/2017,100.7
01/11/2017,100.5
01/12/2017,100.4
01/01/2018,99.7
01/02/2018,100.6
01/03/2018,100.9
01/04/2018,100.7
01/05/2018,101.3
01/06/2018,101.4
01/07/2018,101.8
01/08/2018,102.1
01/09/2018,101.7
01/10/2018,101.6
01/11/2018,101.1
01/12/2018,101.1
01/01/2019,100.4
01/02/2019,101.2
01/03/2019,102
01/04/2019,102.4
01/05/2019,102.3
01/06/2019,102.5
01/07/2019,102.3
01/08/2019,102.8
01/09/2019,102.6
01/10/2019,102.3
01/11/2019,102.2
01/12/2019,102.4
01/01/2020,101.7
01/02/2020,102.3
01/03/2020,102.7
01/04/2020,102.3
01/05/2020,101.8
01/06/2020,102.1
01/07/2020,101.9
01/08/2020,101.8
01/09/2020,101.4
01/10/2020,100.8
01/11/2020,101.1
01/12/2020,101.4
01/01/2021,101.5
01/02/2021,101.9
01/03/2021,102.7
01/04/2021,103.4
01/05/2021,103.5
01/06/2021,103.7
01/07/2021,104.1
01/08/2021,104.7
01/09/2021,105.2
01/10/2021,105.9
01/11/2021,106.5
01/12/2021,107
01/01/2022,106.6
01/02/2022,107.6
01/03/2022,109.6
01/04/2022,110.6
01/05/2022,111.6
01/06/2022,113.1
01/07/2022,113.6
01/08/2022,113.8
01/09/2022,113.8
01/10/2022,115.6
01/11/2022,116
01/12/2022,115.8
01/01/2023,114.9
01/02/2023,116.7
